nome,preco,ano,km,historico/vistoria,vendedor,localização
Hyundai Ix35 2.0 Mpfi 16v Flex 4p Automático,86.900,2018,67.346 Km,Histórico disponível,,Salvador
Ford Ka 1.5 Ti-vct Flex Se Plus Automático,59.990,2020,72.036 Km,Histórico disponível,,Lauro de Freitas
Hyundai Creta 1.6 16v Flex Smart Automático,82.990,2019,45.680 Km,Histórico disponível,,Salvador
Volkswagen Voyage Trendline 1.6 T.flex 8v 4p,46.900,2017,83.133 Km,Histórico disponível,,Salvador
Renault Kwid 1.0 12v Sce Flex Zen Manual,40.990,2020,72.123 Km,Histórico disponível,,Lauro de Freitas
Jeep Compass 1.3 T270 Turbo Flex Limited At6,162.900,2023,27.387 Km,Vistoriado | Histórico disponível,,Salvador
Hyundai Hb20 1.0 Unique 12v Flex 4p Manual,52.990,2019,21.509 Km,Histórico disponível,,Lauro de Freitas
Land Rover Evoque 2.0 R-dynamic Se Si4 Flex (p250) 5p,259.900,2020,45.000 Km,Histórico disponível,,Canatiba - Macaúbas
Jeep Renegade 1.8 16v Flex Longitude 4p Automático,77.990,2019,50.099 Km,Histórico disponível,,Lauro de Freitas
Jeep Renegade 1.8 16v Flex Longitude 4p Automático,84.900,2020,63.533 Km,Histórico disponível,,Salvador
Renault Sandero 1.0 12v Sce Flex Gt Line Manual,52.990,2020,61.930 Km,Histórico disponível,,Lauro de Freitas
Chevrolet Onix 1.0 Turbo Flex Premier Automático,79.900,2020,44.486 Km,Vistoriado | Histórico disponível,,Salvador
Nissan Kicks Sv Cvt,82.900,2018,88.756 Km,Histórico disponível,,Lauro de Freitas
Hyundai Ix35 2.0 Mpfi Gl 16v Flex 4p Automático,85.900,2018,93.086 Km,Histórico disponível,,Salvador
Mitsubishi L200 Triton L200 Triton Aut. Cd,95.000,2012,196.000 Km,Histórico disponível,,Ilhéus
Jeep Renegade 1.8 Flex Aut. 5p,58.000,2016,110.000 Km,,,Salvador
Hyundai Hb20x Evolution 1.6 (aut) (flex),82.210,2022,49.232 Km,Vistoriado | Histórico disponível,Por Seminovos Movida,Salvador
Volkswagen Polo Track 1.0 Flex 12v 5p,77.890,2024,35.210 Km,Vistoriado | Histórico disponível,Por Seminovos Movida,Salvador
Fiat Toro 1.3 Turbo 270 Flex Freedom At6,119.900,2022,47.807 Km,Vistoriado | Histórico disponível,,Salvador
Volkswagen Polo Track 1.0 Flex 12v 5p,78.270,2024,24.717 Km,Vistoriado | Histórico disponível,Por Seminovos Movida,Salvador
Mercedes-benz Classe Gla 2.0 Vision Turbo 5p,120.000,2015,90.000 Km,,,Vitória da Conquista
Renault Kwid 1.0 12v Sce Flex Zen Manual,47.790,2022,23.101 Km,Vistoriado | Histórico disponível,,Salvador
Volkswagen Virtus 1.6 16v Msi 4p,64.880,2019,66.000 Km,,,Porto Seguro
Nissan Kicks 1.6 16v Flexstart Sv 4p Xtronic,82.990,2020,80.169 Km,Histórico disponível,,Salvador
Volkswagen Crossfox 1.6 Msi Flex 16v 4p Automatizado,54.900,2016,115.000 Km,,,Salvador
Nissan Kicks 1.6 16v Flexstart S 4p Manual,74.990,2019,81.405 Km,Histórico disponível,,Salvador
Volkswagen Polo Track 1.0 Flex 12v 5p,75.990,2024,50.051 Km,Vistoriado | Histórico disponível,Por Seminovos Movida,Salvador
Fiat Mobi Like 1.0 (flex),61.920,2024,15.022 Km,Vistoriado | Histórico disponível,Por Seminovos Movida,Lauro de Freitas
Honda Hr-v 1.8 16v Flex Ex 4p Automático,83.990,2017,67.481 Km,Histórico disponível,,Salvador
Honda City Lx Cvt,64.900,2016,133.833 Km,Histórico disponível,,Lauro de Freitas
Nissan Kicks 1.6 16v Flexstart Sl 4p Xtronic,85.990,2019,64.991 Km,Histórico disponível,,Salvador
Renault Captur 1.6 16v Sce Flex Life X-tronic,73.990,2020,82.697 Km,Histórico disponível,,Lauro de Freitas
Bmw X1 2.0 16v Turbo Activeflex Sdrive20i 4p Automático,159.990,2020,42.432 Km,Histórico disponível,,Salvador
Chevrolet Onix Ltz 1.0 Turbo (aut.),84.380,2022,63.039 Km,Vistoriado | Histórico disponível,Por Seminovos Movida,Lauro de Freitas
Ford Ecosport Se At 1.5,67.900,2019,120.521 Km,Histórico disponível,,Lauro de Freitas
Toyota Rav4 2.0 Top 4x2 16v Gasolina 4p Automático,124.900,2018,91.283 Km,Vistoriado,,Salvador
Hyundai Creta Action 1.6 (aut) (flex),101.680,2022,53.243 Km,Vistoriado | Histórico disponível,Por Seminovos Movida,Lauro de Freitas
Jeep Compass Limited F,105.000,2018,40.000 Km,Histórico disponível,,Eunápolis
Volkswagen Polo Track 1.0 Flex 12v 5p,75.990,2024,40.336 Km,Vistoriado | Histórico disponível,Por Seminovos Movida,Feira de Santana
Volkswagen Fox 1.6 Msi Comfortline 8v Flex 4p Manual,51.990,2017,66.209 Km,Histórico disponível,,Salvador
Citroën C3 1.6 Exclusive 16v Flex 4p Automático,53.990,2017,67.796 Km,Histórico disponível,,Salvador
Kia Sportage 2.0 Ex 4x2 16v Flex 4p Automático,118.990,2019,41.856 Km,Histórico disponível,,Salvador
Jeep Renegade 1.8 16v Flex Longitude 4p Automático,76.900,2018,58.275 Km,Histórico disponível,,Salvador
Chery Tiggo 2 1.5 Look 16v Flex 5p,56.000,2019,79.000 Km,,,Alagoinhas
Honda Hr-v Hr-v Ex Cvt,77.900,2016,66.625 Km,Histórico disponível,,Lauro de Freitas
Chevrolet Equinox 2.0 Premier Turbo Awd Aut. 5p,148.000,2019,16.800 Km,Histórico disponível,,Jurema - Vitória da Conquista
Citroën C3 1.6 Exclusive 16v Flex 4p Automático,51.790,2017,56.199 Km,Histórico disponível,,Lauro de Freitas
Jeep Compass 2.0 16v Flex Longitude Automático,89.990,2017,59.173 Km,Histórico disponível,,Salvador
Chevrolet Onix 1.0 Turbo Flex Plus Ltz Manual,81.090,2023,48.567 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,53.890,2023,52.414 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Argo 1.0 Firefly Flex Drive Manual,67.490,2023,49.694 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Onix 1.0 Flex Manual,70.390,2023,50.876 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,53.990,2023,50.118 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Onix 1.0 Turbo Flex Plus Ltz Manual,81.890,2023,46.959 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Onix 1.0 Turbo Flex Plus Ltz Manual,84.790,2023,25.403 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Citroën C3 1.0 Firefly Flex Live Pack Manual,64.890,2023,50.574 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20 1.0 12v Flex Limited Manual,71.090,2023,56.224 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Onix 1.0 Turbo Flex Plus Ltz Manual,81.590,2023,45.774 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20 1.0 12v Flex Sense Manual,61.990,2023,53.514 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Toyota Corolla 2.0 Xei Dynamic Force Flex Aut. 4p,127.500,2023,41.000 Km,,,Santa Mônica - Feira de Santana
Chevrolet Onix 1.0 Flex Plus Lt Manual,73.990,2023,56.189 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,52.690,2023,50.647 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,52.590,2023,52.437 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,49.990,2023,57.409 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Argo 1.0 Firefly Flex Drive Manual,66.790,2023,51.930 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Strada 1.4 Fire Flex Endurance Cs Manual,74.390,2022,50.092 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Renault Kwid 1.0 12v Sce Flex Zen Manual,53.390,2024,48.269 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Pulse 1.0 Turbo 200 Flex Audace Cvt,98.490,2022,58.322 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Onix 1.0 Flex Plus Lt Manual,76.690,2022,17.547 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20s 1.0 12v Flex Evolution Manual,71.590,2022,56.481 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Citroën C3 1.0 Firefly Flex Live Pack Manual,65.790,2023,51.389 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20 1.0 Tgdi Flex Vision Automático,76.990,2022,45.548 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Renault Kwid Zen 1.0 12v Sce (flex),52.270,2023,40.006 Km,Histórico disponível,Por Seminovos Movida,Feira de Santana
Citroën C3 1.0 Firefly Flex Feel Manual,67.890,2023,43.356 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Onix 1.0 Flex Manual,70.890,2023,48.772 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Creta 1.6 16v Flex Action Automático,97.790,2022,44.318 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,53.990,2023,50.641 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Volkswagen Polo 1.0 170 Tsi Highline Automático,108.190,2024,8.755 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Volkswagen T-cross 1.0 200 Tsi Total Flex Comfortline Automático,108.490,2023,50.000 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Volkswagen T-cross 1.0 200 Tsi Total Flex Comfortline Automático,108.490,2023,45.255 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Argo 1.0 Firefly Flex Drive Manual,67.990,2023,48.247 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Argo 1.0 Firefly Flex Drive Manual,67.990,2023,48.050 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Jeep Renegade 1.3 T270 Turbo Flex Longitude At6,104.990,2023,63.195 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Jeep Renegade 1.3 T270 Turbo Flex Longitude At6,108.690,2023,56.064 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,49.990,2023,56.963 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Argo 1.0 Firefly Flex Drive Manual,67.990,2023,49.999 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,54.190,2023,46.992 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Argo 1.0 Firefly Flex Drive Manual,67.290,2023,47.933 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Argo 1.0 Firefly Flex Drive Manual,67.590,2023,54.622 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Jeep Renegade 1.3 T270 Turbo Flex Longitude At6,108.790,2023,44.322 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Peugeot 208 1.6 16v Flex Active At6,70.690,2023,41.805 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Spin 1.8 Premier 8v Flex 4p Automático,101.090,2023,41.231 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20 Platinum 1.0 Turbo At (flex),76.570,2022,58.215 Km,Vistoriado,Por Seminovos Movida,Feira de Santana
Chevrolet Onix 1.0 Turbo Flex Ltz Manual,85.090,2023,50.512 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20 1.0 12v Flex Sense Manual,61.990,2023,64.607 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Jeep Renegade 1.3 T270 Turbo Flex Sport At6,103.990,2023,46.965 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Argo 1.0 Firefly Flex Drive Manual,64.490,2023,66.505 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Argo 1.0 Firefly Flex Drive Manual,64.490,2023,61.586 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Peugeot 208 1.6 16v Flex Active At6,73.490,2023,44.115 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Montana 1.2 Turbo Flex Lt Manual,116.490,2023,52.139 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20s 1.0 Vision (flex),68.780,2022,51.894 Km,Histórico disponível,Por Seminovos Movida,Feira de Santana
Volkswagen Voyage 1.0 Mpi (flex),58.000,2023,61.099 Km,Vistoriado,Por Seminovos Movida,Feira de Santana
Chevrolet Onix 1.0 Flex Manual,72.490,2023,49.776 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,54.090,2023,48.852 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Ford Focus 2.0 Glx Aut. 5p,34.999,2009,113.000 Km,Histórico disponível,,Cruz das Almas
Fiat Punto 1.6 16v Essence Flex 5p,41.000,2016,106.000 Km,,,Feira de Santana
Fiat Mobi Like 1.0 (flex),56.210,2023,23.502 Km,Histórico disponível,Por Seminovos Movida,Feira de Santana
Chevrolet S10 2.8 Ltz High Country Cab. Dupla 4x4 Aut. 4p,180.000,2020,70.000 Km,,,Feira de Santana
Fiat Argo 1.0 Firefly Flex Manual,66.290,2023,45.783 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20 1.0 12v Flex Comfort Manual,67.490,2023,54.276 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Ford Ranger 3.0 Xlt Limited Cab. Dupla 4x4 4p,56.000,2008,300.000 Km,,,Brasília - Feira de Santana
Renault Logan Life 1.0 12v Sce (flex),59.060,2023,64.672 Km,Histórico disponível,Por Seminovos Movida,Feira de Santana
Volkswagen Polo Track 1.0 Flex 12v 5p,75.990,2024,44.812 Km,Histórico disponível,Por Seminovos Movida,Feira de Santana
Jeep Commander 1.3 T270 Turbo Flex Limited At6,193.190,2023,20.790 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20 1.0 12v Flex Comfort Manual,70.890,2024,57.008 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Peugeot 2008 Allure Pack 1.6,74.090,2022,61.690 Km,Histórico disponível,Por Seminovos Movida,Feira de Santana
Fiat Uno 1.0 Drive Flex 5p,39.500,2018,58.500 Km,,,Centro - Feira de Santana
Peugeot 208 Like 1.0 (flex),64.210,2023,59.102 Km,Histórico disponível,Por Seminovos Movida,Feira de Santana
Toyota Hilux 2.7 Srv Cab. Dupla 4x2 Flex Aut. 4p,111.000,2015,117.500 Km,,,35 Bi - Feira de Santana
Renault Kwid Intense 1.0 12v Sce (flex),57.950,2023,55.835 Km,Vistoriado | Histórico disponível,Por Seminovos Movida,Feira de Santana
Chevrolet Cobalt 1.4 Ltz 4p,29.000,2012,124.000 Km,,,Feira de Santana
Hyundai Hb20 1.0 Unique Flex 5p,48.000,2019,122.500 Km,,,Feira de Santana
Fiat Argo 1.0 Firefly Flex Manual,64.790,2023,54.905 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,53.790,2023,53.860 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Mitsubishi Eclipse Cross 1.5 Mivec Turbo Gasolina Hpe Cvt,134.790,2023,48.667 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Onix 1.0 Flex Plus Lt Manual,73.990,2023,43.901 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Onix 1.0 Flex Plus Lt Manual,73.990,2023,44.075 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Onix 1.0 Turbo Flex Ltz Manual,83.890,2023,54.116 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20s Platinum Bluelink 1.0 Turbo (flex),76.330,2022,56.038 Km,,Por Seminovos Movida,Feira de Santana
Volkswagen Fox 1.6 Comfortline Total Flex 5p,47.500,2017,89.000 Km,,,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,52.190,2023,53.993 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Fastback 1.0 Turbo 200 Flex Audace Cvt,122.890,2023,46.229 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Mobi 1.0 Evo Flex Like. Manual,52.190,2021,54.797 Km,,Por Localiza Seminovos,Feira de Santana
Volkswagen Polo 1.0 Mpi Manual,77.590,2023,46.188 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Volkswagen Gol 1.6 Msi Comfortline Total Flex 5p,42.000,2017,83.000 Km,,,Feira de Santana
Hyundai Hb20 1.0 12v Flex Comfort Manual,68.390,2023,50.799 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Cruze 1.4 Turbo Lt 16v Flex 4p Automático,104.990,2023,54.049 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Fiat Argo 1.0 Firefly Flex Drive Manual,68.690,2023,51.045 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Jeep Renegade 1.8 16v Flex Longitude 4p Automático,89.090,2021,47.207 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Onix 1.0 Flex Manual,71.590,2023,51.873 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Cruze 1.4 Turbo Lt 16v Flex 4p Automático,103.790,2023,40.229 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Chevrolet Tracker 1.0 Turbo Flex Lt Automático,111.490,2023,46.452 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
Mitsubishi L200 Triton 2.4 16v Turbo Diesel Gl Cd 4x4 Manual,146.190,2023,51.306 Km,,Por Localiza Seminovos,Feira de Santana
Hyundai Hb20 1.0 12v Flex Comfort Manual,67.990,2023,49.581 Km,Histórico disponível,Por Localiza Seminovos,Feira de Santana
